country	GDP_M_USD	population
Turks and Caicos Islands	1197.0	
Grenada	1041.0	113000.0
Sint Maarten	1009.0	
Saint Kitts and Nevis	831.0	54000.0
Vanuatu	912.0	301295.0
Saint Vincent and the Grenadines	798.0	110696.0
Samoa	752.0	199853.0
Dominica	523.0	72000.0
Tonga	508.0	99532.0
São Tomé and Príncipe	485.0	214610.0
Micronesia	401.0	105754.0
Cook Islands	379.0	
Anguilla	379.0	
Palau	229.0	17957.0
Marshall Islands	234.0	54516.0
Kiribati	231.0	120740.0
Nauru	133.0	11832.0
Montserrat	67.0	
Tuvalu	57.0	10679.0
"
"		7900018000.0
Macau (China)		682500.0
Western Sahara		612000.0
Transnistria		469000.0
Northern Cyprus		372486.0
French Polynesia (France)		279890.0
New Caledonia (France)		273674.0
Abkhazia		245424.0
Guam (United States)		178306.0
Curaçao (Netherlands)		153671.0
Republic of Artsakh		148900.0
Aruba (Netherlands)		111050.0
Jersey (British Crown Dependency)		107800.0
U.S. Virgin Islands (United States)		104000.0
Isle of Man (British Crown Dependency)		85000.0
Cayman Islands (United Kingdom)		65786.0
Guernsey (British Crown Dependency)		63124.0
American Samoa (United States)		56951.0
Northern Mariana Islands (United States)		56801.0
Greenland (Denmark)		56653.0
South Ossetia		53532.0
Faroe Islands (Denmark)		53567.0
Turks and Caicos Islands (United Kingdom)		42953.0
Sint Maarten (Netherlands)		41486.0
Saint Martin (France)		34065.0
Gibraltar (United Kingdom)		34000.0
Åland Islands (Finland)		30354.0
British Virgin Islands (United Kingdom)		30000.0
Cook Islands (New Zealand)		15342.0
Anguilla (United Kingdom)		15000.0
Wallis and Futuna (France)		11369.0
Saint Barthélemy (France)		10124.0
Saint Helena, Ascension and Tristan da Cunha (United Kingdom)		6000.0
Saint Pierre and Miquelon (France)		5985.0
Montserrat (United Kingdom)		5000.0
Falkland Islands (United Kingdom)		4000.0
Christmas Island (Australia)		1966.0
Norfolk Island (Australia)		1734.0
Niue (New Zealand)		1549.0
Tokelau (New Zealand)		1501.0
Vatican City		825.0
Cocos (Keeling) Islands (Australia)		573.0
Pitcairn Islands (United Kingdom)		40.0
